model,origin_date,forecast_date,horizon,actual,predicted,error
elastic_net,2024-11-11,2024-11-12,1,-1.8,-1.6548528671264648,0.14514708518981934
elastic_net,2024-11-11,2024-11-14,3,0.6,-0.4132192134857178,1.0132192373275757
elastic_net,2024-11-11,2024-11-18,7,6.1,3.7513885498046875,2.348611354827881
elastic_net,2024-11-11,2024-11-25,14,-4.4,-3.268685817718506,1.1313142776489258
elastic_net,2024-11-11,2024-12-11,30,-9.6,-8.5108642578125,1.0891361236572266
elastic_net,2024-11-25,2024-11-26,1,-0.7,-0.9834916591644287,0.28349167108535767
elastic_net,2024-11-25,2024-11-28,3,-4.7,-4.103494644165039,0.5965051651000977
elastic_net,2024-11-25,2024-12-02,7,-3.1,-3.7291786670684814,0.6291787624359131
elastic_net,2024-11-25,2024-12-09,14,-9.3,-8.344574928283691,0.9554252624511719
elastic_net,2024-11-25,2024-12-25,30,-15.3,-13.368952751159668,1.9310474395751953
elastic_net,2024-12-09,2024-12-10,1,-2.1,-2.9395995140075684,0.839599609375
elastic_net,2024-12-09,2024-12-12,3,-13.7,-10.887636184692383,2.812363624572754
elastic_net,2024-12-09,2024-12-16,7,-1.4,-3.824723720550537,2.4247236251831055
elastic_net,2024-12-09,2024-12-23,14,-8.3,-9.420724868774414,1.1207246780395508
elastic_net,2024-12-09,2025-01-08,30,-20.3,-17.412918090820312,2.8870811462402344
elastic_net,2024-12-23,2024-12-24,1,-13.1,-13.20400619506836,0.10400581359863281
elastic_net,2024-12-23,2024-12-26,3,-7.2,-7.041853427886963,0.15814638137817383
elastic_net,2024-12-23,2024-12-30,7,1.1,-0.36296844482421875,1.4629684686660767
elastic_net,2024-12-23,2025-01-06,14,-12.4,-11.425785064697266,0.9742145538330078
elastic_net,2024-12-23,2025-01-23,30,-17.7,-18.277515411376953,0.5775146484375
elastic_net,2025-01-06,2025-01-07,1,-16.5,-14.730364799499512,1.7696352005004883
elastic_net,2025-01-06,2025-01-09,3,-16.4,-14.69221019744873,1.707789421081543
elastic_net,2025-01-06,2025-01-14,7,-9.4,-9.184126853942871,0.21587276458740234
elastic_net,2025-01-06,2025-01-21,14,-31.0,-25.15163230895996,5.848367691040039
elastic_net,2025-01-06,2025-02-06,30,-9.8,-8.886636734008789,0.9133634567260742
elastic_net,2025-01-21,2025-01-22,1,-20.3,-19.464065551757812,0.8359336853027344
elastic_net,2025-01-21,2025-01-24,3,-23.9,-21.876672744750977,2.023326873779297
elastic_net,2025-01-21,2025-01-28,7,-20.0,-15.055419921875,4.944580078125
elastic_net,2025-01-21,2025-02-04,14,-15.8,-15.054441452026367,0.7455587387084961
elastic_net,2025-01-21,2025-02-20,30,-15.4,-13.584543228149414,1.8154563903808594
elastic_net,2025-02-04,2025-02-05,1,-16.1,-13.333599090576172,2.7664012908935547
elastic_net,2025-02-04,2025-02-07,3,-9.1,-9.480022430419922,0.3800220489501953
elastic_net,2025-02-04,2025-02-11,7,-21.0,-17.034488677978516,3.9655113220214844
elastic_net,2025-02-04,2025-02-18,14,-18.1,-14.628719329833984,3.471281051635742
elastic_net,2025-02-04,2025-03-06,30,-6.7,-5.524254322052002,1.1757454872131348
elastic_net,2025-02-18,2025-02-19,1,-15.6,-13.83511734008789,1.764883041381836
elastic_net,2025-02-18,2025-02-21,3,-11.2,-10.058050155639648,1.1419496536254883
elastic_net,2025-02-18,2025-02-25,7,-4.0,-4.374835968017578,0.3748359680175781
elastic_net,2025-02-18,2025-03-04,14,-0.2,-3.964787483215332,3.764787435531616
elastic_net,2025-02-18,2025-03-20,30,-5.1,-4.1116414070129395,0.9883584976196289
elastic_net,2025-03-04,2025-03-05,1,-0.9,-2.857887029647827,1.957887053489685
elastic_net,2025-03-04,2025-03-07,3,-9.3,-5.797449111938477,3.5025510787963867
elastic_net,2025-03-04,2025-03-11,7,-7.2,-5.996845245361328,1.2031545639038086
elastic_net,2025-03-04,2025-03-18,14,-1.8,0.26559972763061523,2.0655996799468994
elastic_net,2025-03-04,2025-04-03,30,2.2,2.51033353805542,0.3103334903717041
elastic_net,2025-03-18,2025-03-19,1,-0.6,-0.05262136459350586,0.547378659248352
elastic_net,2025-03-18,2025-03-21,3,-5.8,-4.983806610107422,0.8161935806274414
elastic_net,2025-03-18,2025-03-25,7,-6.5,-5.495338439941406,1.0046615600585938
elastic_net,2025-03-18,2025-04-01,14,-9.1,-6.20753288269043,2.892467498779297
elastic_net,2025-03-18,2025-04-17,30,-1.5,1.3801578283309937,2.880157947540283
elastic_net,2025-04-01,2025-04-02,1,-9.9,-6.437496185302734,3.462503433227539
elastic_net,2025-04-01,2025-04-04,3,1.9,1.841561198234558,0.058438777923583984
elastic_net,2025-04-01,2025-04-08,7,-9.3,-4.514598846435547,4.785401344299316
elastic_net,2025-04-01,2025-04-15,14,0.2,1.9612033367156982,1.7612032890319824
elastic_net,2025-04-01,2025-05-01,30,3.7,4.932253837585449,1.2322537899017334
elastic_net,2025-04-15,2025-04-16,1,-1.3,0.865471363067627,2.165471315383911
elastic_net,2025-04-15,2025-04-18,3,3.1,3.9964566230773926,0.8964567184448242
elastic_net,2025-04-15,2025-04-22,7,2.5,2.483896255493164,0.016103744506835938
elastic_net,2025-04-15,2025-04-29,14,6.3,6.142678260803223,0.15732192993164062
elastic_net,2025-04-15,2025-05-15,30,18.8,16.256010055541992,2.5439891815185547
elastic_net,2025-04-29,2025-04-30,1,-0.2,1.9998610019683838,2.1998610496520996
elastic_net,2025-04-29,2025-05-02,3,3.0,3.8847832679748535,0.8847832679748535
elastic_net,2025-04-29,2025-05-06,7,14.0,12.131546974182129,1.868453025817871
elastic_net,2025-04-29,2025-05-13,14,17.5,14.167704582214355,3.3322954177856445
elastic_net,2025-04-29,2025-05-30,30,10.1,11.04942512512207,0.9494247436523438
elastic_net,2025-05-13,2025-05-14,1,19.4,15.98503303527832,3.414966583251953
elastic_net,2025-05-13,2025-05-17,3,12.3,12.083229064941406,0.21677112579345703
elastic_net,2025-05-13,2025-05-21,7,9.6,9.201854705810547,0.3981456756591797
elastic_net,2025-05-13,2025-05-28,14,15.9,15.167329788208008,0.7326698303222656
elastic_net,2025-05-28,2025-05-29,1,17.2,15.521437644958496,1.678563117980957
elastic_net,2025-05-28,2025-05-31,3,6.9,8.550589561462402,1.6505894660949707
elastic_net,2025-05-28,2025-06-04,7,15.7,14.521588325500488,1.1784114837646484
random_forest,2023-06-08,2023-06-09,1,17.2,16.838440829045698,0.36155993389375496
random_forest,2023-06-08,2023-06-11,3,9.2,12.075276718174342,2.875276908909205
random_forest,2023-06-08,2023-06-15,7,12.9,13.152287830857686,0.2522882123274126
random_forest,2023-06-08,2023-06-22,14,21.8,21.037852434927036,0.7621468021335112
random_forest,2023-06-08,2023-07-08,30,19.1,19.46129159748531,0.36129121601558367
random_forest,2023-06-22,2023-06-23,1,23.2,21.815731746518015,1.3842690164214382
random_forest,2023-06-22,2023-06-25,3,19.4,19.062495642492244,0.33750397603802895
random_forest,2023-06-22,2023-06-29,7,16.3,16.37917410787116,0.0791748708106148
random_forest,2023-06-22,2023-07-06,14,18.6,19.13710788410506,0.5371075026353331
random_forest,2023-06-22,2023-07-22,30,16.4,16.34286382434476,0.05713579418551262
random_forest,2023-07-06,2023-07-07,1,19.8,19.628086444270647,0.17191279278990024
random_forest,2023-07-06,2023-07-09,3,19.6,19.54809143193651,0.05190894953321745
random_forest,2023-07-06,2023-07-13,7,17.0,17.17652718221636,0.1765271822163612
random_forest,2023-07-06,2023-07-20,14,18.4,17.695929523628816,0.7040700949014571
random_forest,2023-07-06,2023-08-05,30,16.4,16.73733402437055,0.3373344058402772
random_forest,2023-07-20,2023-07-21,1,17.4,16.978521517117787,0.421478101412486
random_forest,2023-07-20,2023-07-23,3,17.7,17.270265184138403,0.4297355788010506
random_forest,2023-07-20,2023-07-27,7,21.6,20.72012722695932,0.8798731545104062
random_forest,2023-07-20,2023-08-03,14,19.6,18.360154088177584,1.2398462932921426
random_forest,2023-07-20,2023-08-19,30,16.7,16.687062124928925,0.01293863801052808
random_forest,2023-08-03,2023-08-04,1,17.1,17.15917557897276,0.05917519750303413
random_forest,2023-08-03,2023-08-06,3,16.2,16.494335817742364,0.2943350548029109
random_forest,2023-08-03,2023-08-10,7,17.6,17.59173447000383,0.008265911465898057
random_forest,2023-08-03,2023-08-17,14,20.1,19.690370005375485,0.4096303760942419
random_forest,2023-08-03,2023-09-04,30,23.7,20.5238864341645,3.176114328774954
random_forest,2023-08-17,2023-08-18,1,13.8,14.887904193166756,1.087904002431893
random_forest,2023-08-17,2023-08-20,3,19.1,18.85920724307819,0.24079313839153826
random_forest,2023-08-17,2023-08-26,7,12.4,13.222611946519846,0.8226123279895727
random_forest,2023-08-17,2023-09-02,14,21.9,19.511220138801548,2.3887794797287256
random_forest,2023-08-17,2023-09-18,30,8.4,8.914774920191674,0.5147753016614001
random_forest,2023-09-02,2023-09-03,1,21.3,19.789991023400354,1.5100082136601927
random_forest,2023-09-02,2023-09-05,3,23.9,21.017253772066088,2.8827458464641857
random_forest,2023-09-02,2023-09-09,7,12.0,12.364312626006768,0.36431262600676817
random_forest,2023-09-02,2023-09-16,14,14.6,14.434818415236741,0.16518196623298564
random_forest,2023-09-02,2023-10-02,30,18.6,16.80073619268062,1.799264188789106
random_forest,2023-09-16,2023-09-17,1,13.6,13.698240317907057,0.09823993643733075
random_forest,2023-09-16,2023-09-19,3,8.8,8.81250225732359,0.01250206658872699
random_forest,2023-09-16,2023-09-23,7,15.5,14.317911309115598,1.1820886908844024
random_forest,2023-09-16,2023-09-30,14,15.2,14.121759248952603,1.0782405603125333
random_forest,2023-09-16,2023-10-16,30,6.6,6.684001734516299,0.0840018298837304
random_forest,2023-09-30,2023-10-01,1,17.1,15.582786918615326,1.5172134628544
random_forest,2023-09-30,2023-10-03,3,20.4,17.64569845939182,2.7543011591384534
random_forest,2023-09-30,2023-10-07,7,7.6,8.494764218148777,0.8947643135162089
random_forest,2023-09-30,2023-10-14,14,7.5,7.272161871744487,0.22783812825551308
random_forest,2023-09-30,2023-10-30,30,-2.6,-0.37766640473968077,2.2223334998928874
random_forest,2023-10-14,2023-10-15,1,7.2,7.56041637006896,0.36041656080382367
random_forest,2023-10-14,2023-10-17,3,5.5,5.475489163019803,0.024510836980197404
random_forest,2023-10-14,2023-10-21,7,4.2,3.854779367152858,0.34522044211227865
random_forest,2023-10-14,2023-10-28,14,2.1,3.8158490434189867,1.7158491387864183
random_forest,2023-10-14,2023-11-13,30,2.1,0.5345835575067643,1.565416347125804
random_forest,2023-10-28,2023-10-29,1,0.3,1.6009625229515148,1.3009625110305858
random_forest,2023-10-28,2023-10-31,3,-3.6,-1.2236804362481848,2.3763194683843833
random_forest,2023-10-28,2023-11-04,7,0.0,-0.8733890055590803,0.8733890055590803
random_forest,2023-10-28,2023-11-11,14,-3.0,-3.351508878192299,0.3515088781922988
random_forest,2023-10-28,2023-11-27,30,-6.4,-6.2394269557354205,0.16057313963201114
random_forest,2023-11-11,2023-11-12,1,-3.3,-2.970075080713008,0.3299248716032763
random_forest,2023-11-11,2023-11-14,3,1.0,0.34279302369688586,0.6572069763031141
random_forest,2023-11-11,2023-11-18,7,-1.9,-0.7405639810029186,1.1594359951552233
random_forest,2023-11-11,2023-11-25,14,-3.7,-5.73341788230383,2.0334178346201144
random_forest,2023-11-11,2023-12-11,30,-6.5,-6.535780711184726,0.035780711184726144
random_forest,2023-11-25,2023-11-26,1,-2.6,-3.866644602479122,1.2666446978465538
random_forest,2023-11-25,2023-11-28,3,-12.5,-11.782287202247023,0.7177127977529771
random_forest,2023-11-25,2023-12-02,7,-9.7,-10.115678045943836,0.4156782366786995
random_forest,2023-11-25,2023-12-09,14,3.6,-1.4614061541594283,5.061406058791997
random_forest,2023-11-25,2023-12-25,30,1.8,-1.0392745431843258,2.83927449550061
random_forest,2023-12-09,2023-12-10,1,-0.8,-2.2427759951895427,1.4427759832686138
random_forest,2023-12-09,2023-12-12,3,-4.4,-4.921878074205813,0.5218779788383809
random_forest,2023-12-09,2023-12-16,7,-3.1,-4.031212005795212,0.931212101162644
random_forest,2023-12-09,2023-12-23,14,-3.2,-4.555130827622331,1.355130779938615
random_forest,2023-12-09,2024-01-08,30,-13.8,-14.529627795989732,0.7296276052548691
random_forest,2023-12-23,2023-12-24,1,0.2,-2.5265112417229965,2.7265112447032287
random_forest,2023-12-23,2023-12-26,3,0.9,-1.0022187633595412,1.9022187395176833
random_forest,2023-12-23,2023-12-30,7,-6.5,-5.138409307447684,1.3615906925523156
random_forest,2023-12-23,2024-01-06,14,-12.6,-13.265499581607392,0.6654992001376652
random_forest,2023-12-23,2024-01-22,30,-5.1,-7.485273954307174,2.3852740496746057
random_forest,2024-01-06,2024-01-07,1,-10.7,-11.25824183661236,0.5582420273472231
random_forest,2024-01-06,2024-01-09,3,-11.9,-12.974088881796234,1.0740892632659609
random_forest,2024-01-06,2024-01-13,7,-12.7,-13.628722274119534,0.9287224648543972
random_forest,2024-01-06,2024-01-20,14,-16.2,-16.72098485565411,0.5209840927146558
random_forest,2024-01-06,2024-02-05,30,-6.5,-6.677526892379719,0.17752689237971886
random_forest,2024-01-20,2024-01-21,1,-13.8,-15.516942814951202,1.7169426242163386
random_forest,2024-01-20,2024-01-23,3,-11.7,-12.819091714271217,1.11909190500608
random_forest,2024-01-20,2024-01-27,7,2.0,-1.4944861657005148,3.494486165700515
random_forest,2024-01-20,2024-02-03,14,-5.1,-6.309660582262004,1.2096606776294356
random_forest,2024-01-20,2024-02-19,30,-17.4,-16.795496977700772,0.6045026408295016
random_forest,2024-02-03,2024-02-04,1,-5.6,-5.732113047460191,0.132113142827623
random_forest,2024-02-03,2024-02-06,3,-6.2,-6.428251385426982,0.22825157616184555
random_forest,2024-02-03,2024-02-10,7,0.9,-0.6712418733477155,1.5712418495058575
random_forest,2024-02-03,2024-02-17,14,-18.8,-15.924712947643265,2.875286289417282
random_forest,2024-02-03,2024-03-04,30,4.3,-0.6034267314300628,4.903426922164926
random_forest,2024-02-17,2024-02-18,1,-13.4,-14.635205977189825,1.2352063586595516
random_forest,2024-02-17,2024-02-20,3,-12.7,-14.14472774711215,1.4447279378470128
random_forest,2024-02-17,2024-02-24,7,-15.4,-14.380177532031869,1.0198220864984044
random_forest,2024-02-17,2024-03-02,14,0.9,-3.5483153820253612,4.448315358183503
random_forest,2024-02-17,2024-03-18,30,-6.5,-4.867455700732486,1.632544299267514
random_forest,2024-03-02,2024-03-03,1,0.5,-2.1511910555848286,2.6511910555848286
random_forest,2024-03-02,2024-03-05,3,1.0,-1.8835298946347627,2.883529894634763
random_forest,2024-03-02,2024-03-09,7,-2.1,-3.1415936594073606,1.0415937547747922
random_forest,2024-03-02,2024-03-16,14,-1.4,-1.725358022542459,0.32535804638431687
random_forest,2024-03-02,2024-04-01,30,1.2,0.08461852666059003,1.1153815210231257
random_forest,2024-03-16,2024-03-17,1,-1.0,-0.47653467422538026,0.5234653257746198
random_forest,2024-03-16,2024-03-19,3,-6.3,-5.867632177740829,0.4323680129940346
random_forest,2024-03-16,2024-03-23,7,-12.5,-11.948140490028036,0.5518595099719636
random_forest,2024-03-16,2024-03-30,14,-1.0,-1.649832422193616,0.649832422193616
random_forest,2024-03-16,2024-04-15,30,5.5,4.258239485591749,1.2417605144082513
random_forest,2024-03-30,2024-03-31,1,1.1,-0.5575287138561731,1.657528737698031
random_forest,2024-03-30,2024-04-02,3,2.6,1.043137187989876,1.5568627166426923
random_forest,2024-03-30,2024-04-06,7,3.4,2.2456416362103457,1.154358459157086
random_forest,2024-03-30,2024-04-13,14,3.1,3.8464449622431176,0.7464450576105492
random_forest,2024-03-30,2024-04-29,30,1.9,3.1370504573868847,1.2370504812287426
random_forest,2024-04-13,2024-04-14,1,3.0,3.1297128222158985,0.12971282221589853
random_forest,2024-04-13,2024-04-16,3,2.6,3.032725679699123,0.4327257750665545
random_forest,2024-04-13,2024-04-20,7,3.8,3.1403670434158673,0.6596329089004169
random_forest,2024-04-13,2024-04-27,14,6.4,4.8650881697927275,1.5349119255747041
random_forest,2024-04-13,2024-05-13,30,14.9,14.155787746527254,0.7442118720030191
random_forest,2024-04-27,2024-04-28,1,6.2,5.726455030790724,0.47354477847441245
random_forest,2024-04-27,2024-04-30,3,7.0,5.70226042688103,1.29773957311897
random_forest,2024-04-27,2024-05-04,7,14.4,12.80102243739539,1.5989771811348827
random_forest,2024-04-27,2024-05-11,14,12.2,11.359427801167431,0.8405720080977055
random_forest,2024-04-27,2024-05-27,30,14.1,13.686959651012366,0.4130407304573609
